HORA;SE/CO;S;NE;N
00:00;178,8;178,8;178,8;178,8
01:00;178,0;178,0;178,0;178,0
02:00;176,7;174,3;174,3;174,3
03:00;176,9;176,9;176,9;176,9
04:00;177,0;177,0;177,0;177,0
05:00;177,2;177,2;177,2;177,2
06:00;177,6;177,6;177,6;177,6
07:00;179,9;179,9;179,9;179,9
08:00;182,1;181,4;181,4;181,4
09:00;182,7;181,6;181,6;181,6
10:00;183,9;182,3;181,9;182,3
11:00;183,8;181,6;181,6;181,6
12:00;183,7;181,9;181,9;181,9
13:00;185,6;182,4;182,4;182,4
14:00;187,3;185,3;185,3;185,3
15:00;188,1;185,5;185,5;185,5
16:00;188,2;184,7;184,6;184,6
17:00;185,7;179,8;179,8;179,8
18:00;185,6;179,3;179,3;179,3
19:00;189,1;182,0;182,0;182,0
20:00;190,0;183,2;183,2;183,2
21:00;189,1;183,2;183,2;183,2
22:00;186,8;181,7;181,7;181,7
23:00;183,6;180,4;180,4;180,4
