HORA;SE/CO;S;NE;N
00:00;180,4;177,3;177,3;177,3
01:00;176,7;176,7;176,7;176,7
02:00;176,2;176,2;176,2;176,2
03:00;176,0;176,0;176,0;176,0
04:00;176,3;176,3;176,3;176,3
05:00;176,7;176,7;176,7;176,7
06:00;176,7;176,7;176,7;176,7
07:00;178,1;177,5;177,5;177,5
08:00;183,6;182,5;182,5;182,5
09:00;186,8;183,5;183,5;183,5
10:00;188,5;185,1;185,1;185,1
11:00;188,5;185,0;185,0;185,0
12:00;188,5;182,0;182,0;182,0
13:00;188,9;185,0;185,0;185,0
14:00;190,9;186,1;186,1;186,1
15:00;191,1;186,7;186,7;186,7
16:00;191,6;185,3;185,3;185,3
17:00;188,5;181,4;181,4;181,4
18:00;188,5;180,4;180,4;180,4
19:00;192,2;182,4;182,4;182,4
20:00;192,2;183,7;183,7;183,7
21:00;192,0;184,1;184,1;184,1
22:00;190,5;183,0;183,0;183,0
23:00;187,3;182,0;182,0;182,0
