HORA;SE/CO;S;NE;N
00:00;148,8;144,2;148,8;148,8
01:00;145,7;143,9;145,7;145,7
02:00;141,1;141,1;141,1;141,1
03:00;142,3;142,2;142,3;142,3
04:00;141,2;141,2;141,2;141,2
05:00;141,2;141,2;141,2;141,2
06:00;139,9;139,9;139,9;139,9
07:00;143,8;143,8;143,8;143,8
08:00;148,7;146,9;147,6;147,6
09:00;149,7;148,1;148,1;148,1
10:00;150,5;144,4;148,0;148,0
11:00;150,7;147,5;148,6;148,6
12:00;150,5;142,6;146,5;146,5
13:00;158,2;156,7;154,3;154,3
14:00;167,5;151,9;151,9;151,9
15:00;170,7;142,6;150,0;150,0
16:00;165,5;141,7;148,4;148,4
17:00;151,5;146,0;146,0;146,0
18:00;150,4;145,9;145,9;145,9
19:00;158,4;146,9;146,9;146,9
20:00;160,5;147,6;147,6;147,6
21:00;160,5;148,1;148,1;148,1
22:00;153,2;146,9;146,9;146,9
23:00;149,7;145,6;145,7;145,6
