HORA;SE/CO;S;NE;N
00:00;146,9;138,8;139,9;139,9
01:00;146,7;133,9;133,9;133,9
02:00;142,5;132,5;132,5;132,5
03:00;139,2;132,6;132,6;132,6
04:00;139,2;130,8;130,8;130,8
05:00;135,4;129,0;129,0;129,0
06:00;129,2;129,2;129,2;129,2
07:00;128,7;128,7;128,7;128,7
08:00;129,9;129,9;129,9;129,9
09:00;130,3;130,3;130,3;130,3
10:00;131,1;129,9;129,9;129,9
11:00;134,7;129,5;129,5;129,5
12:00;139,2;129,5;129,5;129,5
13:00;139,2;129,5;129,5;129,5
14:00;139,3;129,5;129,5;129,5
15:00;142,1;129,5;129,5;129,5
16:00;145,8;129,5;129,5;129,5
17:00;146,7;130,6;130,6;130,6
18:00;149,6;134,1;134,4;134,4
19:00;153,5;135,1;142,8;142,8
20:00;153,3;135,9;143,0;143,0
21:00;153,5;135,2;144,1;144,1
22:00;151,9;134,7;137,9;137,9
23:00;150,1;133,9;133,9;133,9
