HORA;SE/CO;S;NE;N
00:00;156,5;139,7;139,7;139,7
01:00;150,7;139,1;139,1;139,1
02:00;150,4;137,2;137,2;137,2
03:00;150,2;136,7;136,7;136,7
04:00;149,6;135,6;135,6;135,6
05:00;147,4;134,1;134,1;134,1
06:00;138,6;133,8;133,8;133,8
07:00;146,9;134,5;134,5;134,5
08:00;150,1;135,3;135,3;135,3
09:00;150,1;135,5;135,5;135,5
10:00;150,0;135,6;135,6;135,6
11:00;150,4;135,9;135,9;135,9
12:00;150,6;135,3;135,3;135,3
13:00;150,9;135,5;135,5;135,5
14:00;151,2;135,0;135,0;135,0
15:00;151,1;135,1;135,1;135,1
16:00;151,1;135,4;135,4;135,4
17:00;153,1;136,0;136,0;136,0
18:00;156,7;136,4;136,4;136,4
19:00;161,9;139,5;139,5;139,5
20:00;160,2;139,4;139,4;139,4
21:00;158,3;137,2;137,2;137,2
22:00;157,2;136,9;136,9;136,9
23:00;154,1;135,8;135,8;135,8
