HORA;SE/CO;S;NE;N
00:00;145,3;141,9;145,3;145,3
01:00;144,4;140,9;144,4;144,4
02:00;143,8;143,8;143,8;143,8
03:00;144,4;137,8;144,4;144,4
04:00;144,3;140,9;144,3;144,3
05:00;144,0;143,6;144,0;144,0
06:00;143,8;137,8;143,8;143,8
07:00;145,4;144,9;145,4;145,4
08:00;150,1;145,7;150,1;150,1
09:00;152,7;148,5;152,7;152,7
10:00;156,0;151,5;156,0;156,0
11:00;154,3;146,6;154,3;154,3
12:00;153,2;146,2;153,2;153,2
13:00;154,8;154,1;154,8;154,8
14:00;160,1;158,8;160,1;160,1
15:00;158,3;156,2;158,3;158,3
16:00;155,4;153,8;155,4;155,4
17:00;152,2;151,6;152,2;152,2
18:00;151,7;151,7;151,7;151,7
19:00;152,8;152,3;152,8;152,8
20:00;152,8;152,8;152,8;152,8
21:00;155,0;152,0;155,0;155,0
22:00;152,4;151,6;152,4;152,4
23:00;150,9;150,9;150,9;150,9
