HORA;SE/CO;S;NE;N
00:00;176,9;173,8;173,8;173,8
01:00;174,0;173,5;173,5;173,5
02:00;173,3;173,3;173,3;173,3
03:00;173,4;173,4;173,4;173,4
04:00;173,2;173,2;173,2;173,2
05:00;172,8;172,7;172,7;172,7
06:00;172,8;172,5;172,5;172,5
07:00;174,0;173,6;173,6;173,6
08:00;180,5;180,5;180,5;180,5
09:00;182,6;182,6;181,2;182,6
10:00;183,9;183,9;181,1;183,9
11:00;183,1;183,1;181,0;183,1
12:00;181,7;180,9;180,9;180,9
13:00;187,0;187,0;182,7;187,0
14:00;203,8;193,2;192,0;196,4
15:00;202,2;189,5;188,8;193,4
16:00;191,1;188,9;182,5;188,9
17:00;181,9;180,3;179,6;180,3
18:00;180,5;176,3;176,3;176,3
19:00;188,5;185,1;180,3;185,1
20:00;191,5;186,9;180,2;186,9
21:00;189,8;188,8;174,3;188,8
22:00;184,4;184,1;174,1;184,1
23:00;179,7;174,7;173,7;174,7
