HORA;SE/CO;S;NE;N
00:00;205,8;205,3;205,3;205,3
01:00;201,8;198,9;198,9;198,9
02:00;199,1;197,1;197,1;197,1
03:00;198,3;197,0;197,0;197,0
04:00;198,9;196,9;196,9;196,9
05:00;199,2;196,5;196,5;196,5
06:00;199,4;196,2;196,2;196,2
07:00;204,8;197,2;197,2;197,2
08:00;205,5;203,2;203,2;203,2
09:00;209,8;204,0;204,0;204,0
10:00;210,8;205,5;205,5;205,5
11:00;210,8;205,8;205,8;205,8
12:00;210,9;205,6;205,6;205,6
13:00;212,2;207,1;207,1;207,1
14:00;214,1;207,6;207,6;207,6
15:00;214,4;207,8;207,8;207,8
16:00;212,5;207,4;206,5;207,4
17:00;210,2;205,1;205,1;205,1
18:00;204,7;204,7;204,7;204,7
19:00;213,4;207,7;205,2;207,7
20:00;211,6;206,9;204,8;206,9
21:00;208,4;206,5;206,0;206,5
22:00;206,8;206,0;205,9;206,0
23:00;204,9;204,9;204,9;204,9
