HORA;SE/CO;S;NE;N
00:00;194,6;177,1;177,1;177,1
01:00;192,7;174,6;174,6;174,6
02:00;181,6;173,1;173,1;173,1
03:00;177,6;172,2;172,2;172,2
04:00;177,5;173,2;173,2;173,2
05:00;175,9;173,7;173,7;173,7
06:00;173,5;172,4;172,4;172,4
07:00;176,9;172,9;172,9;172,9
08:00;180,2;173,5;173,5;173,5
09:00;188,1;174,5;174,5;174,5
10:00;193,6;174,3;174,3;174,3
11:00;193,6;174,3;174,3;174,3
12:00;193,6;174,1;174,1;174,1
13:00;193,7;174,5;174,5;174,5
14:00;193,7;174,3;174,3;174,3
15:00;193,7;174,2;174,2;174,2
16:00;193,7;174,0;174,0;174,0
17:00;193,6;174,2;174,2;174,2
18:00;206,1;174,7;174,7;174,7
19:00;212,8;178,4;178,4;178,4
20:00;212,8;179,3;179,3;179,3
21:00;210,1;176,7;176,7;176,7
22:00;204,6;175,6;175,6;175,6
23:00;193,7;174,3;174,3;174,3
