HORA;SE/CO;S;NE;N
00:00;177,2;177,2;177,2;177,2
01:00;176,3;176,3;176,3;176,3
02:00;174,9;174,9;174,9;174,9
03:00;176,2;176,2;176,2;176,2
04:00;176,3;176,3;176,3;176,3
05:00;176,4;176,4;176,4;176,4
06:00;176,4;176,4;176,4;176,4
07:00;179,2;179,2;179,2;179,2
08:00;184,8;184,8;184,8;184,8
09:00;187,8;187,8;187,8;187,8
10:00;187,7;187,7;187,7;187,7
11:00;188,1;188,1;188,1;188,1
12:00;188,6;188,6;188,6;188,6
13:00;189,6;189,6;189,6;189,6
14:00;191,6;191,6;191,6;191,6
15:00;191,9;191,9;191,9;191,9
16:00;189,9;189,7;189,7;189,7
17:00;187,4;186,1;186,1;186,1
18:00;187,0;185,3;185,3;185,3
19:00;191,3;187,5;187,5;187,5
20:00;192,0;187,6;187,6;187,6
21:00;193,9;193,9;193,9;193,9
22:00;188,4;187,9;187,9;187,9
23:00;185,8;182,3;182,3;182,3
